,gene_symbol,log2fold.CC_vs_HC,p.CC_vs_HC,p.adj.CC_vs_HC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,mean
ENSG00000177406,NINJ2-AS1,0.271384203,0.077955712,0.19871685,1447.61,1519.75,990.05,1495.08,1348.86,1589.29,1031.07,1218.6,1675.89,1475.21,1231.76,1464.07,1483.83,1318.56,1211.21,1388.64,1170.8,1314.68,1011.34,1416.02,1182.76,1243.09,1546.04,1195.89,1230.3,1134.39,1158.54,1038.76,1320.855238
ENSG00000245667,AC006064.1,0.271236683,0.187264109,0.356210306,2649.23,2439.78,2341.56,2274.7,2983.64,1541.23,1885.03,2418.08,2284.3,2688.83,2620.27,1533.79,2792.11,2967.05,2725.51,2682.72,3170.91,2735.56,3024.44,2421.74,3551.75,2723.48,2089.82,2746.71,2879.14,2442.06,2454.71,3099.22,2615.48
ENSG00000134452,FBH1,0.083479823,0.258656741,0.440071826,12.72,26.69,23.35,15.49,9.57,17.4,36.96,18.17,25.44,12.3,19.89,6.34,14.54,12.56,16.26,28.59,35.23,50.38,22.39,18.43,17.34,41.4,19.06,21.99,27.6,27.75,28.28,25.14,20.83285714
ENSG00000134461,ANKRD16,0.033418966,0.826956337,0.904675857,83.41,42.54,93.4,73.76,52.08,111.03,47.74,56.43,56.42,75.44,67.85,87.15,72.68,57.08,59.23,39.58,63.69,64.68,64.76,60.9,61.28,64.63,54.18,64.39,59.02,81.9,65.04,47.58,70.62
ENSG00000134463,ECHDC3,1.324532099,0.002973744,0.02238505,2.83,5.84,13.08,14.75,6.38,20.72,13.09,13.39,22.12,5.74,23.4,14.26,2.24,6.85,4.65,8.8,6.78,10.21,13.59,11.22,5.78,7.07,6.02,8.64,15.33,12.18,14.14,8.98,10.44333333
ENSG00000134470,IL15RA,0.305592296,0.027948478,0.099355103,284.15,504.64,479.15,500.82,350.77,411.82,525.16,291.74,629.43,574.83,486.62,331.16,503.18,551.4,519.09,633.3,673.48,544.66,570.03,675.55,698.33,724.04,653.13,683.14,481.39,606.45,551.46,572.8,500.0709524
ENSG00000134480,CCNH,0.120985419,0.39927819,0.583247244,2.83,2.5,3.74,2.95,1.06,2.49,3.85,0.96,2.21,4.92,1.17,0,2.24,3.42,5.81,3.3,2.71,0.68,0,1.6,2.31,1.01,2.01,3.14,4.6,1.35,0.94,7.18,2.550238095
ENSG00000134489,HRH4,-1.405440989,6.22E-05,0.002098315,42.41,34.2,18.68,29.5,60.59,29.83,48.51,65.04,661.51,22.96,113.47,60.21,23.48,50.23,30.19,36.28,85.37,53.79,46.37,408.7,56.65,52.51,78.26,80.09,45.23,29.1,49.96,56.56,73.19309524
ENSG00000134504,KCTD1,0.184156615,0.201154542,0.372739817,4.24,11.68,19.61,8.11,11.69,3.31,13.86,7.65,14.38,12.3,14.04,6.34,19.01,12.56,16.26,8.8,14.91,9.53,19.99,21.64,20.81,23.23,14.05,19.63,14.56,18.95,11.31,19.75,14.28357143
ENSG00000134516,DOCK2,0.291243323,0.028103118,0.099646914,9.9,73.4,57.91,41.3,30.82,38.12,33.88,23.91,17.7,20.5,14.04,19.01,22.36,36.53,54.58,49.48,28.46,26.55,31.18,28.85,9.25,31.3,35.11,27.48,25.3,35.87,45.25,24.24,33.75333333
